procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0      0 3763444  19696  29176    0    0   459 17340  204  209  1  4 90  5
 0  0      0 3806788    152   6424    0    0  7480  2368 1411 2052  3  4 90  3
 0  0      0 3806680    152   6456    0    0  5376  1400  923 1623  2  4 93  2
 0  0      0 3806556    160   6508    0    0  4272  1636  759 1442  2  2 95  1
 1  0      0 3806680    152   6444    0    0  4284  1196  761 1445  1  2 95  2
 0  0      0 3806556    156   6512    0    0  4284  1724  775 1474  2  2 94  2
 1  1      0 3807060    144   6128    0    0  4928  1432  822 1555  2  2 94  1
 0  0      0 3806556    160   6596    0    0  4564  1712  797 1512  2  2 94  1
 0  0      0 3806432    156   6480    0    0  4292  1488  776 1463  0  3 94  2
 0  0      0 3806308    152   6596    0    0  5192  1432  854 1600  2  3 94  1
 1  0      0 3807176    144   5792    0    0  4324  1684  774 1479  1  3 94  1
 0  0      0 3806432    156   6504    0    0  5120  1776  865 1606  2  3 94  1
 1  0      0 3807184    144   5496    0    0  4424  1424  781 1475  2  3 94  1
 0  0      0 3806308    160   6608    0    0  5108  1700  859 1592  1  3 94  2
 0  0      0 3806432    156   6504    0    0  4348  1444  774 1445  2  3 94  1
 1  0      0 3807184    144   5732    0    0  4632  1468  793 1491  2  2 95  1
 0  0      0 3806184    160   6624    0    0  4940  1708  854 1576  2  3 94  1
 0  0      0 3806308    148   6620    0    0  5236  1460  869 1598  1  4 94  1
 0  0      0 3806432    160   6532    0    0  4360  1700  782 1460  2  3 94  2
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0      0 3787172  17632   7956    0    0   473 17086  205  211  1  4 90  5
 0  0      0 3806968    156   6004    0    0  4100  1732  782 1421  2  2 93  4
 0  0      0 3806960    152   5952    0    0  5336  1404  895 1524  1  0 95  3
 0  0      0 3806464    156   6552    0    0  4936  1620  856 1472  1  2 95  3
 0  1      0 3806464    148   6516    0    0  5316  1460  894 1529  2  3 92  4
 1  1      0 3806464    148   6532    0    0  5204  1700  859 1523  1  3 92  4
 0  0      0 3807092    164   6032    0    0  3904  1736  751 1343  1  2 93  5
 0  0      0 3807092    148   5920    0    0  5328  1440  900 1529  1  2 92  5
 0  0      0 3806464    156   6572    0    0  5000  1732  874 1489  1  2 93  4
 0  0      0 3806332    148   6488    0    0  5192  1432  868 1529  1  2 91  5
 1  0      0 3806356    164   6536    0    0  4396  1716  801 1416  1  2 92  4
 0  0      0 3806968    160   5984    0    0  5016  1744  889 1465  2  2 93  3
 0  1      0 3807340    140   5744    0    0  5236  1420  882 1507  1  2 92  4
 0  0      0 3806340    156   6592    0    0  5136  1700  895 1501  0  3 93  4
 0  0      0 3806340    148   6576    0    0  5248  1468  877 1533  1  3 92  4
 0  0      0 3806968    156   6084    0    0  4048  1740  783 1342  3  1 93  3
 0  0      0 3806968    148   5976    0    0  5372  1440  905 1528  3  2 92  4
 0  0      0 3806208    160   6620    0    0  5028  1688  880 1478  1  1 92  5
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0      0 3787824  17000   8148    0    0   486 16840  206  214  1  4 90  5
 0  0      0 3806968    136   6000    0    0  4592  1684  792 1407  1  2 94  3
 0  0      0 3807092    124   5968    0    0  4940  1544  782 1378  1  2 94  3
 0  0      0 3806968    128   5956    0    0  4924  1568  774 1356  1  2 94  2
 0  0      0 3806844    128   6080    0    0  4980  1660  775 1356  2  3 93  2
 0  0      0 3806340    136   6624    0    0  5496  1648  837 1452  0  3 93  4
 0  1      0 3806968    132   6020    0    0  4524  1660  742 1304  2  1 93  3
 0  0      0 3806968    124   5976    0    0  5004  1688  778 1397  1  2 94  3
 0  0      0 3806844    128   6072    0    0  4996  1648  802 1381  1  3 94  3
 1  0      0 3806968    132   6040    0    0  5152  1660  796 1375  1  3 94  2
 1  0      0 3806968    148   6024    0    0  4420  1364  699 1233  0  2 94  4
 0  0      0 3806968    148   6012    0    0  3572  1168  628 1107  2  0 94  4
 0  0      0 3807084    152   6076    0    0  3608  1360  629 1118  1  1 95  3
 0  0      0 3807084    152   6012    0    0  4448  1364  706 1251  2  1 94  3
 0  0      0 3806968    144   6036    0    0  4404  1104  695 1231  1  1 95  3
 0  0      0 3806860    144   6016    0    0  4424  1412  702 1239  0  0 99  1
 0  0      0 3806876    164   6080    0    0  3584  1372  623 1106  1  2 95  3
 0  0      0 3806860    160   6064    0    0  4432  1368  694 1212  1  1 94  4
