procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0      0 3787708  16916   8120    0    0   630 13961  211  235  1  4 91  4
 1  0      0 3773856  17296  20120    0    0  1192   636  618 1265  1  6 93  0
 0  0      0 3774012  17296  20264    0    0     0   628  504 1256  2  5 93  0
 0  0      0 3774004  17296  20284    0    0     0   628  494 1228  2  5 93  0
 0  1      0 3773896  17300  20268    0    0     0   660  470 1137  1  5 91  4
 0  0      0 3774136  17304  20276    0    0     0   680  546 1284  1  6 91  1
 0  0      0 3774012  17304  20276    0    0     0   676  499 1241  1  6 93  0
 0  0      0 3774128  17304  20280    0    0     0   688  516 1274  2  5 92  0
 0  0      0 3774160  17304  20300    0    0     0   676  497 1239  3  4 93  0
 0  1      0 3774036  17308  20308    0    0     0   592  464 1131  2  5 91  3
 0  0      0 3774012  17312  20324    0    0     0   680  537 1308  2  5 91  3
 0  0      0 3774012  17312  20296    0    0     0   680  513 1265  2  6 92  0
 0  0      0 3774260  17312  20304    0    0     0   676  495 1228  3  5 93  0
 1  0      0 3773864  17312  20304    0    0     0   684  507 1247  3  4 93  0
 0  1      0 3773880  17316  20304    0    0     0   592  472 1153  2  4 91  3
 0  0      0 3773904  17320  20320    0    0     0   688  522 1270  3  4 91  2
 0  0      0 3774028  17320  20324    0    0     0   676  499 1243  2  5 93  0
 0  0      0 3774160  17320  20324    0    0     0   676  509 1267  2  5 93  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0      0 3785948  17344   8932    0    0   625 13798  210  236  1  4 91  4
 0  0      0 3773872  17344  20288    0    0     8   428  537 1254  2  6 91  0
 0  0      0 3774136  17344  20268    0    0     0   312  507 1200  2  6 92  0
 0  0      0 3774012  17344  20288    0    0     0   316  516 1222  3  6 92  0
 0  1      0 3773500  17352  20284    0    0     0   312  475 1062  2  5 88  5
 1  0      0 3781676  17352  13084    0    0     0   416  539 1298  2  6 92  0
 0  0      0 3774136  17352  20276    0    0     0   316  506 1206  2  6 92  0
 0  0      0 3774128  17352  20280    0    0     0   336  512 1213  2  6 92  0
 0  0      0 3774004  17352  20300    0    0     0   340  517 1218  3  6 92  0
 0  1      0 3785436  17360   9096    0    0     0   372  487 1135  1  5 89  5
 1  0      0 3773848  17360  20240    0    0     0   336  520 1239  3  6 91  0
 0  0      0 3773880  17364  20284    0    0     4   340  519 1226  2  6 91  0
 0  0      0 3773872  17364  20308    0    0     0   336  507 1197  3  5 92  0
 1  0      0 3784412  17364   9780    0    0     0   340  531 1273  2  6 91  0
 1  1      0 3779964  17372  14484    0    0     0   388  493 1132  2  6 87  5
 0  0      0 3773880  17372  20296    0    0     0   336  484 1150  2  6 91  0
 0  0      0 3774012  17372  20296    0    0     0   340  513 1221  3  5 92  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0      0 3785412  17384   9004    0    0   621 13647  210  237  1  4 91  4
 0  0      0 3773368  17384  20428    0    0     8   220  522 1209  1  6 93  0
 0  0      0 3773508  17384  20316    0    0     0   104  497 1149  1  5 93  0
 0  0      0 3773376  17384  20272    0    0     0   104  514 1214  1  6 93  0
 0  1      0 3773212  17388  20268    0    0     0   204  452 1035  2  4 95  0
 0  0      0 3773508  17392  20272    0    0     0   212  561 1288  1  6 88  5
 0  0      0 3773376  17392  20272    0    0     0   104  485 1140  2  5 94  0
 0  0      0 3773368  17392  20296    0    0     0   108  514 1220  1  5 93  0
 1  0      0 3773772  17392  20308    0    0     0   208  498 1188  2  4 94  0
 0  1      0 3774044  17396  20292    0    0     0   136  450 1035  1  5 90  5
 0  0      0 3773500  17400  20276    0    0     0   108  525 1229  2  5 92  1
 0  0      0 3773368  17400  20280    0    0     0   104  491 1151  2  4 94  0
 1  0      0 3778840  17400  15444    0    0     0   208  524 1261  1  6 93  0
 0  0      0 3773352  17400  20280    0    0     0   108  495 1159  1  5 93  0
 0  1      0 3773244  17404  20312    0    0     0   136  437 1019  1  4 92  2
 0  0      0 3773368  17408  20344    0    0     0   108  519 1221  1  5 91  3
 0  0      0 3773376  17408  20288    0    0     0   112  501 1177  1  5 94  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0      0 3785884  17428   8996    0    0   617 13501  209  237  1  4 91  4
 0  0      0 3773252  17428  20316    0    0     8   116  515 1188  2  5 94  0
 0  0      0 3773384  17428  20284    0    0     0   104  499 1161  1  5 94  0
 0  0      0 3773360  17428  20284    0    0     0     0  517 1219  1  5 93  0
 0  1      0 3773276  17432  20212    0    0     0   204  456 1050  2  4 90  4
 0  0      0 3773268  17436  20304    0    0     0   108  551 1244  2  6 92  1
