procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  1      0 2792828  26032 916172    0    0   219  8508  109  112  1  2 95  3
 0  0      0 3720436    172  29528    0    0  9368  1764 1755 1701  1  4 92  2
 0  0      0 3720584    176  29488    0    0  8088  1308 1207 1543  1  1 96  2
 0  0      0 3720460    176  29544    0    0  7932  1304 1157 1509  0  2 96  2
 0  0      0 3720568    176  29516    0    0  8136  1304 1220 1637  0  3 95  1
 0  0      0 3720568    184  29488    0    0  7932  1352 1168 1527  1  2 95  2
 0  0      0 3720568    184  29480    0    0  7964  1344 1189 1556  1  2 95  2
 0  0      0 3720568    184  29524    0    0  8144  1344 1214 1614  0  2 95  2
 0  0      0 3720428    184  29496    0    0  7940  1344 1183 1546  1  3 95  1
 0  0      0 3720552    184  29544    0    0  7948  1356 1167 1506  1  3 95  2
 0  0      0 3720576    184  29520    0    0 10424  1344 1804 1692  0  3 94  2
 0  0      0 3720600    184  29548    0    0  7948  1344 1177 1530  0  4 94  1
 0  0      0 3720600    184  29548    0    0  7940  1344 1187 1551  1  2 95  2
 0  0      0 3720600    184  29548    0    0  7936  1340 1160 1509  1  2 95  2
 0  0      0 3720444    184  29548    0    0  8288  1344 1258 1631  1  2 96  1
 0  0      0 3720568    184  29544    0    0  7940  1344 1163 1509  0  3 95  2
 0  0      0 3720576    184  29548    0    0  7940  1348 1188 1556  1  3 95  1
 0  0      0 3720552    188  29548    0    0  8152  1352 1214 1606  0  3 95  2
 0  0      0 3720428    184  29548    0    0  7956  1344 1189 1549  0  4 95  1
 0  0      0 3720676    184  29548    0    0  7940  1344 1177 1532  0  4 95  1
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0      0 3715916   1700  32908    0    0   254  8775  114  117  1  2 94  3
 0  0      0 3720996    176  29328    0    0  9296  1592 1855 1653  1  3 95  1
 0  0      0 3721020    188  29536    0    0  7688  1252 1130 1484  0  3 96  1
 0  0      0 3721144    180  29368    0    0  7588  1284 1154 1509  1  1 96  1
 0  0      0 3721012    188  29536    0    0  7708  1308 1125 1522  1  3 95  1
 0  0      0 3721136    196  29480    0    0  9192  1576 1340 2042  0  3 95  2
 0  0      0 3720904    220  29568    0    0  9384  1532 1331 2050  1  3 94  1
 0  0      0 3721268    184  29368    0    0  7656  1324 1114 1548  1  3 96  1
 1  0      0 3721648    164  29008    0    0 10384  1344 1539 2026  2  2 94  1
 0  0      0 3721020    196  29432    0    0  7796  1560 1232 1782  1  3 95  1
 0  0      0 3720896    200  29484    0    0  9196  1532 1273 1814  1  3 95  1
 1  0      0 3721648    176  29316    0    0  9184  1324 1216 1714  1  2 95  1
 0  0      0 3721152    196  29344    0    0  7636  1572 1194 1689  2  2 95  1
 0  0      0 3721020    208  29316    0    0 11628  1540 1898 1976  1  4 94  1
 0  0      0 3721012    196  29532    0    0  7736  1304 1148 1486  2  3 94  1
 0  0      0 3721268    184  29324    0    0  7608  1304 1171 1540  1  2 97  1
 0  0      0 3721012    196  29564    0    0  7728  1316 1163 1520  1  3 96  1
 0  0      0 3721144    184  29324    0    0  7764  1304 1205 1546  1  3 95  1
 0  0      0 3721012    196  29524    0    0  7728  1304 1155 1501  2  3 94  1
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0      0 3716456   1576  32964    0    0   286  9043  118  123  1  2 94  3
 0  0      0 3720988    176  29420    0    0  8992  1588 1762 1600  1  4 94  1
 0  0      0 3721352    180  29400    0    0  7620  1236 1148 1663  1  3 95  2
 0  0      0 3721220    188  29536    0    0  9020  1476 1222 1741  1  4 95  1
 0  0      0 3721476    188  29340    0    0  8920  1532 1262 1715  1  3 95  0
