procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 2  1      0 2902912  11724 205800    0    0   536  1721   57  213  1  1 96  2
 0  1      0 3072632    352  50600    0    0  8204  5180 1337 2061  3  3 91  2
 0  0      0 3073004    184  50644    0    0  8296  1448  953 1972  1  5 92  2
 1  0      0 3073136    184  50628    0    0  8200  1464  969 2045  1  4 93  3
 0  0      0 3073136    212  50716    0    0  6856  1256  863 1796  0  4 93  2
 0  0      0 3073004    204  50628    0    0  8216  1448  958 1997  1  5 91  3
 0  0      0 3073004    200  50656    0    0  6848  1224  848 1747  1  3 93  2
 1  0      0 3072028    188  51736    0    0  7908  1240  925 1937  0  5 92  3
 0  0      0 3073128    192  50704    0    0  7156  1464  877 1844  0  5 92  3
 0  1      0 3073020    196  50960    0    0  7156  1240  879 1835  1  5 93  0
 0  0      0 3073128    200  50736    0    0  7948  1448  913 1877  3  4 91  1
 0  0      0 3073128    200  50736    0    0  8396  1464 1030 2149  3  4 92  1
 1  0      0 3073384    192  50744    0    0  8252  1252  951 1979  2  6 91  1
 0  0      0 3073252    196  50732    0    0  6880  1460  891 1886  2  4 92  1
 0  0      0 3073252    196  50736    0    0  8240  1444  943 1981  2  6 91  1
 0  0      0 3073260    196  50736    0    0  8240  1460  977 2057  4  4 92  0
 1  0      0 3072152    192  51740    0    0  7900  1256  945 1949  4  4 91  1
 0  0      0 3073260    184  50712    0    0  7060  1444  887 1905  3  4 92  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 2  1      0 3067128   2532  54224    0    0   611  3164   72  234  1  1 95  2
 3  0      0 3063996    260  55968    0    0 33608  2804 2788 5505 10  4 77  9
 0  0      0 3064392    228  55980    0    0  8856  2648 1129 2302  3  5 91  1
 0  0      0 3064268    196  55908    0    0  6912  2212  887 1850  1  4 93  1
