procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  1      0 3068884   2844  58824    0    0   805  6558  108  286  1  2 93  3
 0  0      0 3053400   4596  71060    0    0  2632   608  889 2615  5  5 88  1
 1  0      0 3057780   4596  66600    0    0     0   420  594 1252  1  5 94  0
 0  0      0 3053632   4596  71060    0    0     0   360  610 1330  1  6 93  0
 1  0      0 3053780   4596  71060    0    0     0   360  580 1254  1  5 94  0
 1  0      0 3056152   4596  68320    0    0     0   420  641 1357  2  5 93  0
 0  0      0 3053548   4616  71060    0    0     4   344  513 1141  2  3 90  4
 0  0      0 3053400   4616  71080    0    0     0   420  602 1300  0  6 94  0
 0  0      0 3053276   4616  71060    0    0     0   360  607 1319  2  5 93  0
 0  0      0 3053144   4616  71060    0    0     0   360  597 1295  0  6 93  0
 1  0      0 3053936   4616  71060    0    0     0   420  608 1278  2  5 93  0
 0  0      0 3053416   4640  71060    0    0     8   344  524 1166  2  4 90  4
 1  0      0 3064980   4640  59896    0    0     0   420  578 1217  1  5 94  0
 0  0      0 3053284   4640  71060    0    0     0   360  618 1341  2  5 93  0
 0  0      0 3053432   4660  71148    0    0     4   488  594 1253  1  5 89  4
 0  0      0 3053516   4660  71144    0    0     0   420  626 1336  1  6 93  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 3  0      0 3064628   4704  59936    0    0   766  7425  111  289  1  2 93  3
 0  0      0 3053540   4732  71352    0    0    16  1416  594 1335  1  4 89  6
 1  0      0 3064684   4732  60152    0    0     8  1764  674 1263  1  5 94  0
 1  0      0 3053268   4732  71372    0    0     8  1512  659 1307  2  6 93  0
 0  0      0 3053276   4732  71352    0    0     8  1764  701 1237  1  5 94  0
 0  0      0 3053392   4732  71372    0    0     8  1512  692 1338  1  6 93  0
 0  1      0 3053300   4748  71348    0    0    12  1552  633 1167  2  3 90  4
 0  0      0 3053244   4752  71352    0    0     8  1516  690 1338  1  5 93  1
 0  0      0 3053416   4752  71352    0    0    12  1764  745 1242  1  4 94  0
