procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 2  0      0 2573688 129172 935960    0    0  2454  4777   82  322  1  1 96  2
 0  0      0 2559984 129228 948364    0    0   816   400  676 1527  3  5 92  0
 1  0      0 2571764 129256 937192    0    0     0   456  644 1363  2  5 93  0
 0  0      0 2559976 129280 948512    0    0     0   360  642 1423  3  5 91  0
 0  0      0 2560100 129312 948336    0    0     0   420  605 1336  2  5 93  0
 0  0      0 2561044 129336 948276    0    0     0   576  710 1478  2  6 87  4
 0  0      0 2560672 129376 948276    0    0     4   520  649 1323  2  6 92  0
 2  0      0 2567832 129404 940808    0    0     0   420  651 1402  2  5 92  0
 0  0      0 2559680 129428 948504    0    0     0   360  602 1314  3  4 94  0
 1  0      0 2571204 129460 937220    0    0     0   420  634 1363  3  5 92  0
 0  0      0 2559812 129480 948404    0    0     0   372  586 1250  3  6 86  5
 0  0      0 2559696 129516 948628    0    0     0   524  660 1336  2  6 92  0
 1  0      0 2570228 129544 937560    0    0     0   420  619 1331  3  5 92  0
 0  0      0 2559416 129568 948424    0    0     0   360  616 1371  4  5 91  0
 0  0      0 2559432 129596 948456    0    0     0   360  602 1313  2  5 93  0
 1  0      0 2569988 129620 938492    0    0     0   416  618 1333  1  4 89  5
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 7  0      0 2571624 129184 937136    0    0  2055  7937  102  319  1  2 94  3
 0  1      0 2559508 129212 948504    0    0     8   492  624 1343  3  5 92  0
 2  0      0 2559468 129228 948452    0    0     0   364  653 1382  3  5 87  5
 0  0      0 2559176 129240 948464    0    0     0   360  618 1320  3  4 93  0
 0  0      0 2559252 129256 948532    0    0     0   420  627 1361  3  5 92  0
 1  0      0 2559276 129268 948464    0    0     0   360  613 1325  3  5 92  0
 0  1      0 2570864 129292 937472    0    0     4   496  571 1160  3  3 89  4
 0  0      0 2559416 129308 948464    0    0     0   364  655 1408  3  6 90  1
 0  0      0 2559392 129320 948508    0    0     0   420  604 1277  3  3 93  0
 0  0      0 2559500 129332 948272    0    0     0   360  630 1362  4  6 90  0
 0  0      0 2559564 129344 948456    0    0     0   360  590 1229  5  6 89  0
 1  1      0 2559160 129364 948452    0    0     0   440  573 1189  3  5 90  2
 0  0      0 2559432 129380 948496    0    0     0   424  650 1370  4  5 88  3
