procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 2  0      0 3049608   4244 141032    0    0   283  1678  103   84  0 14 85  1
 1  0      0 3023840   4252 153880    0    0     4     0  547  227  0 25 75  0
 1  0      0 3021980   4260 155656    0    0     0    72  349   71  0 28 72  1
 1  0      0 3023584   4268 153800    0    0     0  4040  317  209  0 20 80  0
 1  0      0 3021312   4268 156256    0    0     0  4000  401  308  0 22 78  0
 1  0      0 3023336   4268 154432    0    0     0  4000  418  313  1 22 77  0
 1  0      0 3025288   4268 152192    0    0     0  4000  405  307  0 21 78  0
 1  0      0 3022948   4268 154984    0    0     0     0  391  267  0 26 74  0
 1  0      0 3024676   4288 153332    0    0     4  4044  433  330  0 21 78  0
 1  0      0 3021824   4288 156096    0    0     0     0  374  264  0 25 75  0
 1  0      0 3013484   4288 163920    0    0     0  4000  439  331  0 22 77  0
 1  0      0 3014144   4288 163452    0    0     0  4000  418  307  0 21 78  0
 1  0      0 3015152   4288 162276    0    0     0  4000  421  312  1 20 80  0
 1  0      0 3014616   4304 162308    0    0     0  4044  436  326  0 21 78  0
 0  0      0 3016956   4304 164380    0    0     0     0  415  320  0 23 77  0
 1  0      0 3014764   4304 162892    0    0     0  4000  376  262  1 25 74  0
 1  0      0 3015384   4304 162252    0    0     0  4000  415  310  0 21 78  0
 1  0      0 3013748   4304 163344    0    0     0  4000  420  310  0 20 80  0
 1  0      0 3013912   4320 163188    0    0     0  4044  415  332  1 22 77  1
 1  0      0 3014996   4320 162264    0    0     0  4000  412  308  0 21 78  0
 0  0      0 3016600   4320 164380    0    0     0     0  411  323  0 23 77  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0      0 3015360   4320 161716    0    0     0  8000  424  301  1 19 80  0
 1  0      0 3013152   4320 164296    0    0     0     0  379  267  0 27 73  0
 2  0      0 3015136   4328 162356    0    0     0  4300  420  316  0 21 78  0
 1  0      0 3016764   4336 160680    0    0     0  3744  415  315  0 20 79  0
 1  0      0 3014160   4336 163444    0    0     0    32  356  264  0 26 74  0
 1  0      0 3015748   4336 161716    0    0     0  4000  418  306  0 22 78  0
 0  0      0 3016716   4336 164368    0    0     0     0  421  321  0 21 79  0
 1  0      0 3006100   4344 171092    0    0     0  4744  426  289  0 26 73  1
 1  0      0 3004472   4352 172576    0    0     0  3300  423  316  0 21 78  0
 1  0      0 3006720   4352 169840    0    0     0  4024  421  318  1 21 79  0
 1  0      0 3011632   4352 169428    0    0     0     0  401  318  0 23 77  0
 1  0      0 3004844   4352 171756    0    0     0  4000  386  252  0 25 75  0
 1  0      0 3005216   4360 171492    0    0     0  4016  428  320  0 21 78  0
 1  0      0 3005844   4360 170648    0    0     0  3996  416  308  0 21 79  0
 0  0      0 3008276   4368 172572    0    0     0  3256  411  322  0 21 79  0
 1  0      0 3004364   4368 171936    0    0     0   776  380  271  1 25 74  0
 1  0      0 3006216   4368 170228    0    0     0  4000  438  306  1 23 77  0
 1  0      0 3007556   4376 172556    0    0     0  2832  419  317  0 20 80  0
 1  0      0 3003860   4376 172400    0    0     0  1180  380  267  0 27 72  0
 1  0      0 3004480   4376 171916    0    0     0  4000  414  317  0 21 78  0
 1  0      0 3006588   4384 169612    0    0     0  4032  419  313  1 21 78  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0      0 3003992   4384 172328    0    0     0     0  361  267  0 23 77  0
 1  0      0 3003984   4392 172436    0    0     0  4912  420  315  1 23 77  0
 1  0      0 3004720   4392 172488    0    0     0  3100  420  307  0 21 79  0
 1  0      0 3005472   4392 171064    0    0     0  4000  886  330  0 23 76  0
 1  0      0 3004968   4400 172132    0    0     0  4032  418  314  0 21 79  0
 1  0      0 3005720   4400 170696    0    0     0  4000  424  307  0 22 78  0
 2  0      0 3006192   4408 170356    0    0     0  4012  423  320  0 20 80  0
 1  0      0 3003984   4408 172416    0    0     0     0  366  266  0 27 73  0
 1  0      0 3003976   4408 172336    0    0     0  4000  419  316  0 22 78  0
 1  0      0 3005968   4416 170076    0    0     0  4032  426  317  0 22 77  0
 0  0      0 3008152   4416 172548    0    0     0     0  416  310  0 20 80  0
 1  0      0 3003852   4424 172348    0    0     0  5244  382  275  0 27 73  0
 1  0      0 3004348   4424 172480    0    0     0  2768  403  310  0 20 79  0
 1  0      0 3005472   4424 170500    0    0     0  4000  410  312  0 23 77  0
 1  0      0 3007324   4424 168796    0    0     0  4000  407  313  0 21 79  0
 1  0      0 3004472   4424 171604    0    0     0     0  379  264  0 26 74  0
 1  0      0 3006084   4440 170024    0    0     0  4172  428  325  0 22 78  0
 0  0      0 3008168   4440 172644    0    0     0     0  400  312  0 21 79  0
 1  0      0 3005108   4440 170904    0    0     0  3872  886  290  1 26 73  0
 1  0      0 3006968   4440 169324    0    0     0  4000  417  307  1 22 77  0
 1  0      0 3004116   4440 171988    0    0     0     0  375  262  0 25 75  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0      0 3004604   4456 172576    0    0     0  4528  421  322  0 22 78  0
 0  0      0 3008176   4456 172576    0    0     0  3516  450  352  0 17 83  0
 1  0      0 3003984   4456 172352    0    0     0  5944  392  280  1 27 73  0
 1  0      0 3005596   4456 170408    0    0     0  2056  410  313  0 20 79  0
 1  0      0 3007092   4456 169028    0    0     0  4000  411  309  0 21 78  0
 1  0      0 3004124   4464 171824    0    0     0  1804  385  275  0 26 74  0
 1  0      0 3004084   4472 172516    0    0     0  2240  413  309  0 19 80  0
 1  0      0 3004348   4472 172552    0    0     0  4000  432  314  0 22 78  0
 1  0      0 3005720   4472 170768    0    0     0  4000  431  309  1 21 78  0
 1  0      0 3006952   4472 169248    0    0     0  4000  418  306  0 21 78  0
 1  0      0 3004100   4480 171816    0    0     0  1760  388  271  0 25 75  0
 1  0      0 3004224   4488 172364    0    0     0  2284  427  310  0 24 76  1
 2  0      0 3005596   4488 170872    0    0     0  4000  417  319  0 22 78  0
 1  0      0 3006976   4488 169396    0    0     0  4000  429  311  0 20 80  0
 1  0      0 3004124   4488 172096    0    0     0     0  374  266  0 26 74  0
 1  0      0 3005712   4496 170368    0    0     0  4372  457  318  0 21 79  0
 1  0      0 3006076   4504 170596    0    0     0  3672  479  315  1 21 78  0
 0  0      0 3008688   4504 172576    0    0     0     0  697  341  0 25 75  0
 1  0      0 3005224   4504 171072    0    0     0  4000  382  253  0 25 75  0
 1  0      0 3007208   4504 169672    0    0     0  4000  422  309  0 22 78  0
 1  0      0 3004232   4512 172444    0    0     0  2256  375  273  0 25 75  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0      0 3004232   4512 172440    0    0     0  1756  415  309  0 20 79  0
 1  0      0 3006348   4520 170092    0    0     0  4032  418  317  0 23 76  1
 1  0      0 3005208   4520 172660    0    0     0     0  416  309  0 20 80  0
 1  0      0 2997040   4520 179720    0    0     0  4000  447  302  0 28 72  0
 1  0      0 2999396   4528 177948    0    0     0  4016  416  325  0 22 78  0
 0  0      0 3000224   4528 180716    0    0     0     0  398  320  0 22 78  0
 2  0      0 2997552   4536 179340    0    0     0  4028  390  269  1 23 76  0
 1  0      0 2996412   4536 180508    0    0     0  4000  416  304  1 23 77  0
 2  0      0 2998892   4536 178024    0    0     0  4000  424  308  1 22 78  0
 0  0      0 3000480   4544 180720    0    0     0  2932  398  331  0 22 78  0
 2  0      0 2996660   4544 180432    0    0     0  1080  394  257  0 26 74  0
 1  0      0 2997032   4544 179912    0    0     0  4976  452  330  0 20 80  0
 1  0      0 2996312   4552 180696    0    0     0  3056  417  311  0 21 78  1
 1  0      0 2998296   4552 179140    0    0     0  4000  448  310  0 22 78  0
 1  0      0 2998644   4560 178128    0    0     0  4012  420  320  0 22 77  0
 1  0      0 2996560   4560 180824    0    0     0     0  368  266  0 25 75  0
 1  0      0 2997172   4560 180360    0    0     0  4000  418  316  1 21 78  0
 1  0      0 2991600   4568 186220    0    0     0  4032  706  347  1 25 74  0
 0  0      0 2993048   4568 188944    0    0     0     0  422  322  0 21 79  0
 1  0      0 2990228   4576 187736    0    0     0  5424  387  264  1 26 74  0
 1  0      0 2989104   4576 188524    0    0     0  2588  417  308  1 22 78  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0      0 2991840   4576 185996    0    0     0  4000  418  312  0 22 78  0
 1  0      0 2989112   4576 188792    0    0     0     0  372  264  0 25 75  0
 1  0      0 2989476   4576 188244    0    0     0  4000  427  310  0 22 78  0
 1  0      0 2991716   4592 186316    0    0     0  4140  430  324  0 21 78  0
 0  0      0 2992908   4592 188904    0    0     0     0  413  325  0 22 78  0
 1  0      0 2990716   4592 187428    0    0     0  3904  380  255  1 25 75  0
 1  0      0 2991088   4592 187040    0    0     0  4000  426  310  0 21 79  0
