procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 2  0      0 6459412   2180  55572    0    0  1030  5458  596  477  2  4 92  3
 2  1      0 6460756    376  48572    0    0  5296  4272 1961 1911  1  3 95  1
 0  0      0 6460260    376  49192    0    0  4532  4160 1612 1945  2  3 93  1
 0  0      0 6459540    396  49868    0    0  4376  4208 1552 1929  1  3 94  1
 0  0      0 6458944    396  50452    0    0  3696  3376 1461 1964  1  4 95  1
 1  0      0 6448164    396  59128    0    0  3556  3384 7231 2106  1  5 89  5
 1  0      0 6448240    380  59892    0    0  4084  3400 1365 1788  1  4 95  1
 0  0      0 6449044    380  59740    0    0  3844  4184 1487 1874  1  4 94  1
 0  0      0 6448700    380  59784    0    0  3532  3372 1337 1642  1  2 95  1
 0  1      0 6440140    408  68640    0    0  3080  2560 7117 1502  1  3 91  4
 0  0      0 6431980    396  76660    0    0  3140  3340 9187 2057  1  5 91  2
 0  0      0 6432052    384  76404    0    0  2672  2548 1064 1400  1  3 96  0
 0  0      0 6432412    384  76560    0    0  3576  3352 1479 1982  0  3 94  2
 0  0      0 6432312    376  76576    0    0  3564  3376 1309 1672  1  3 95  1
 0  0      0 6432148    376  76532    0    0  3580  3376 1467 1635  1  3 95  1
 0  1      0 6431916    404  76528    0    0  2844  2560 1059 1391  0  1 96  2
 0  0      0 6432040    384  76716    0    0  3412  3336 1286 1747  1  3 95  2
 0  0      0 6432180    392  76720    0    0  3536  3372 1464 1931  0  3 95  2
 1  0      0 6423708    388  84768    0    0  2720  2528 7364 1919  0  6 90  3
 0  0      0 6423708    384  84876    0    0  3552  3380 1590 1614  1  3 95  1
 0  0      0 6423568    384  84792    0    0  3588  3372 1222 1659  1  3 95  1
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0      0 6423700    396  84984    0    0  2696  2520 1102 1403  0  3 97  1
 0  0      0 6423840    384  84996    0    0  3560  3384 1359 1711  1  2 95  2
 0  0      0 6423740    412  84952    0    0  4536  2532 1390 1403  1  2 95  2
 0  0      0 6423592    384  84856    0    0  3736  3372 1518 1909  1  3 96  1
 1  0      0 6423584    396  84940    0    0  3584  3364 1632 2224  1  3 95  1
