procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 2  1      0 7618128   2168  53156    0    0   472  4599  391  310  1  3 93  3
 1  0      0 7617072    372  47824    0    0  5040  4248 1836 2037  1  3 95  1
 0  0      0 7617244    384  47808    0    0  3944  3316 1447 1745  0  3 95  1
 0  0      0 7617360    388  47940    0    0  2672  2492 1073 1633  1  2 95  2
 0  0      0 7617228    392  47776    0    0  2664  2492  999 1425  1  2 97  0
 0  0      0 7617244    380  47724    0    0  3556  3296 1221 1678  1  2 97  1
 1  0      0 7617236    396  47812    0    0  2676  2484  994 1427  1  2 96  1
 2  1      0 7603852    376  55880    0    0  3500  3312 6133 1830  0  4 91  4
 1  0      0 7600840    396  64308    0    0  2680  2492 9050 1949  1  5 92  2
 2  0      0 7600988    368  63380    0    0  3512  2504 1102 1519  1  2 96  1
 0  0      0 7601128    388  64312    0    0  2720  3300 1143 1488  1  2 96  1
 1  1      0 7600988    368  64084    0    0  4380  3348 1353 1792  1  3 95  1
 0  0      0 7601104    376  64084    0    0  2664  3260 1210 1768  0  2 96  1
 0  0      0 7600872    364  64324    0    0  3560  3308 1261 1727  1  2 96  1
 0  0      0 7592188    756  72488    0    0  3052  2480 6718 1936  0  4 92  4
 0  0      0 7592204    376  72284    0    0  3528  3320 1551 1745  1  2 96  1
 1  0      0 7592144    372  72084    0    0  3496  2508 1122 1597  1  3 95  1
 0  0      0 7583728    380  80456    0    0  3604  4116 7875 2095  1  6 89  4
 1  0      0 7584816    368  79504    0    0  4220  3320 1415 2044  1  3 94  2
 0  1      0 7584792    368  79696    0    0  3552  3320 1380 1824  1  3 95  1
 2  0      0 7583428    368  80972    0    0  3392  3316 1271 1673  0  3 95  2
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0      0 7583436    380  80960    0    0  3440  3316 1240 1654  1  3 94  2
 0  0      0 7583824    380  80696    0    0  3968  4116 1417 1894  1  3 94  1
 1  0      0 7583576    376  80404    0    0  4096  3324 1267 1807  0  4 95  0
 1  0      0 7583660    376  80204    0    0  4396  4144 2060 2649  2  4 93  1
 0  0      0 7583280    388  80520    0    0  3032  3304 1459 1648  1  3 96  1
