procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 2  1      0 7604008  18740  50664    0    0  1717  1301  400  270  1  2 95  2
 1  1      0 7617436    364  47700    0    0  5688  2016 1317 1062  0  2 97  1
 1  0      0 7616180    368  48636    0    0  3296  1908  773  889  0  1 98  1
 1  0      0 7616312    344  48524    0    0  3552  1432  754  899  0  1 98  0
 1  0      0 7616188    344  48500    0    0  3560  1884  755  899  0  1 98  1
 1  0      0 7616164    356  48516    0    0  2704  1880  664  731  0  1 98  1
 1  0      0 7616344    344  48532    0    0  3608  1528  765  925  1  1 98  0
 1  0      0 7617204    336  47820    0    0  3188  1904  682  803  0  1 98  1
 1  0      0 7616336    344  48660    0    0  3136  1468  719  843  0  1 97  1
 1  0      0 7616320    352  48540    0    0  2728  1892  655  742  0  0 98  1
 1  0      0 7616376    368  48788    0    0  3616  1496  785  937  0  1 98  1
 1  0      0 7616400    352  48796    0    0  4080  1972  862 1002  0  2 98  1
 1  0      0 7616252    344  48544    0    0  2744  1440  657  757  0  0 98  2
 1  0      0 7617012    340  48112    0    0  3480  1900  728  864  0  0 97  2
 1  0      0 7616904    384  48680    0    0  2908  1936  761  862  0  1 97  1
 1  0      0 7617292    368  48060    0    0  4408  1976  909 1102  1  2 96  1
 1  0      0 7616960    380  48740    0    0  2880  1932  759  852  0  1 98  1
 1  0      0 7616868    364  48592    0    0  4500  2012  920 1150  1  2 96  2
 1  0      0 7616612    388  48788    0    0  2796  1912  737  813  0  1 97  1
 1  0      0 7617240    368  48196    0    0  4440  1964  910 1104  1  2 96  1
 1  0      0 7616900    376  48496    0    0  3784  1956  840 1014  1  1 97  1
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0      0 7616884    372  48820    0    0  2816  1900  730  779  1  1 97  1
 1  0      0 7616560    348  48740    0    0  4624  1992  946 1181  0  2 95  3
 1  0      0 7616032    364  48840    0    0  3752  2424  819  980  1  1 96  2
 1  0      0 7616156    352  48600    0    0  3716  1932  769  937  0  1 97  2
 0  0      0 7616180    348  48912    0    0  4592  1936  856 1113  0  1 96  3
