procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 7  0      0 6652168  49104 958436    0    0  2409   497  303  267  1  2 96  1
 0  0      0 6630532  49104 971916    0    0     8 14604  737  890  1  3 96  0
 0  0      0 6630300  49208 971968    0    0     0 14608  710  828  2  2 96  0
 0  0      0 6630160  49320 971940    0    0     0 14632  723  830  1  3 96  0
 1  0      0 6631052  49436 970904    0    0     0 14792  734  822  1  3 96  0
 0  0      0 6629160  49532 972404    0    0     0 12600  700  743  1  3 97  0
 0  0      0 6629176  49644 972396    0    0     0 14696  702  822  1  3 96  0
 0  0      0 6628928  49760 972380    0    0     0 14708  736  825  1  3 96  0
 0  0      0 6628540  49872 972624    0    0     0 14692  755  812  1  3 96  0
 0  0      0 6639476  49984 961716    0    0     0 14716  777  780  0  3 97  0
 0  0      0 6628308  50080 972828    0    0     0 12572  744  742  1  2 96  0
 0  0      0 6627936  50192 972940    0    0     0 14648  701  814  1  3 96  0
 0  0      0 6627812  50304 973052    0    0     0 14644  757  820  0  4 96  0
 0  0      0 6638476  50420 961980    0    0     0 14648  678  785  1  2 97  0
 1  0      0 6627316  50516 973260    0    0     0 12552  689  789  0  3 97  0
