procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 4  0      0 2831864  14708 854580    0    0   124  1331   28   14  0  6 94  1
 0  0      0 2811716  14736 867544    0    0    12  7040  647  611  0  5 95  0
 0  0      0 2808740  14744 869468    0    0     0  6000  643  557  1  6 93  0
 0  0      0 2807912  14752 870736    0    0     0  7000  683  548  1  5 94  0
 1  0      0 2801572  14760 876116    0    0     0  7000  649  505  1  6 93  0
 0  0      0 2796148  14776 882796    0    0   112  6088  709  623  1  7 91  1
 1  0      0 2804944  14792 872788    0    0     4  7060  659  527  2  4 94  0
 0  0      0 2792280  14800 885704    0    0     0  6000  643  508  1  6 93  0
 0  0      0 2782244  14808 895968    0    0     0  7000  696  569  1  6 93  1
 0  0      0 2780912  14812 897020    0    0     0  7000  673  558  1  7 92  0
 0  0      0 2779012  14828 898960    0    0     0  7036  678  551  2  3 95  1
 0  0      0 2769316  14844 909084    0    0    56  6060  649  549  2  6 91  1
 0  0      0 2767588  14848 910088    0    0     0  7000  639  564  2  5 93  0
 0  0      0 2765132  14860 912016    0    0    56  7000  660  574  2  5 93  0
 0  0      0 2763496  14868 913864    0    0    56  7000  641  592  1  4 95  0
