procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 4  0      0 7475376  19876 188216    0    0    56  1685   42   44  0  1 99  0
 0  0      0 7462132  19896 201184    0    0     8 14040  874  686  0  2 97  0
 1  0      0 7469828  19896 194100    0    0     0 16000  867  624  1  2 97  0
 0  0      0 7461884  19896 201352    0    0     0 14000  820  570  1  1 98  0
 0  0      0 7462124  19904 201260    0    0     0 16076  877  632  1  1 97  0
 0  0      0 7462016  19904 201268    0    0     0 14000  805  558  1  2 97  0
 0  0      0 7462264  19916 201268    0    0     4 16012  871  634  0  2 97  0
 0  0      0 7462124  19916 201268    0    0     0 14000  791  544  1  2 97  0
 0  0      0 7462124  19916 201268    0    0     0 16000  865  624  1  2 97  0
 0  0      0 7462008  19916 201268    0    0     0 14000  807  553  1  2 97  0
 0  0      0 7462264  19924 201404    0    0     0 16036  913  623  2  1 97  0
 1  0      0 7460768  19932 201268    0    0     0 16012  828  571  1  2 97  0
 0  0      0 7462256  19932 201352    0    0     0 14000  848  633  1  2 97  0
 0  0      0 7462008  19932 201268    0    0     0 16000  848  560  1  1 97  0
