date,mode,size,count,ss_span,fs,before_img_size,after_img_size,diff_img_size,mean_write_bw
2025-01-09_20-24-00,seq,8000k,10,1,yuiha,176196,256424,80228,95801753.600000
2025-01-09_20-24-00,seq,8000k,10,2,yuiha,176196,216304,40108,223683072.000000
2025-01-09_20-24-00,seq,8000k,10,4,yuiha,176196,200256,24060,269263360.000000
2025-01-09_20-24-00,seq,8000k,10,200,yuiha,176196,184208,8012,330745548.800000
2025-01-09_20-24-00,seq,16000k,10,1,yuiha,176196,336576,160380,114564710.400000
2025-01-09_20-24-00,seq,16000k,10,2,yuiha,176196,256376,80180,233313177.600000
2025-01-09_20-24-00,seq,16000k,10,4,yuiha,176196,224296,48100,272816025.600000
2025-01-09_20-24-00,seq,16000k,10,200,yuiha,176196,192216,16020,317464780.800000
2025-01-09_20-24-00,seq,32000k,10,1,yuiha,176196,496880,320684,119307366.400000
2025-01-09_20-24-00,seq,32000k,10,2,yuiha,176196,336520,160324,234071142.400000
2025-01-09_20-24-00,seq,32000k,10,4,yuiha,176196,272376,96180,282015436.800000
2025-01-09_20-24-00,seq,32000k,10,200,yuiha,176196,208232,32036,343296307.200000
2025-01-09_20-24-00,seq,64000k,10,1,yuiha,176196,817488,641292,118009446.400000
2025-01-09_20-24-00,seq,64000k,10,2,yuiha,176196,496804,320608,231076454.400000
2025-01-09_20-24-00,seq,64000k,10,4,yuiha,176196,368536,192340,287187968.000000
2025-01-09_20-24-00,seq,64000k,10,200,yuiha,176196,240264,64068,349689651.200000
